geoid,name,year,total_est,total_se
04000US01,Alabama,2009,23.794041,.2829617
04000US01,Alabama,2010,22.899515,.32114935
04000US01,Alabama,2011,23.09083,.27174297
04000US01,Alabama,2012,23.136471,.25384709
04000US01,Alabama,2013,23.454721,.30893907
04000US01,Alabama,2014,23.474092,.27441332
04000US01,Alabama,2015,23.392838,.3072173
04000US01,Alabama,2016,23.933479,.25680679
04000US01,Alabama,2017,24.372728,.31803915
04000US02,Alaska,2009,21.149042,.76829982
04000US02,Alaska,2010,20.036919,.82037628
04000US02,Alaska,2011,20.477598,.76837707
04000US02,Alaska,2012,20.338087,.68113959
04000US02,Alaska,2013,22.754709,.72671974
04000US02,Alaska,2014,21.579433,.76044226
04000US02,Alaska,2015,21.395367,.71113646
04000US02,Alaska,2016,23.821177,.77979529
04000US02,Alaska,2017,22.068588,.72184962
04000US04,Arizona,2009,17.638025,.24632113
04000US04,Arizona,2010,16.697886,.22880919
04000US04,Arizona,2011,16.104166,.31314886
04000US04,Arizona,2012,16.421045,.20700382
04000US04,Arizona,2013,16.610985,.25476271
04000US04,Arizona,2014,17.69051,.26504338
04000US04,Arizona,2015,18.039,.23837614
04000US04,Arizona,2016,19.875931,.25277832
04000US04,Arizona,2017,20.335161,.25461304
04000US05,Arkansas,2009,20.485144,.38459393
04000US05,Arkansas,2010,20.492832,.3677853
04000US05,Arkansas,2011,19.521807,.34806797
04000US05,Arkansas,2012,20.110609,.38175252
04000US05,Arkansas,2013,20.515873,.41348097
04000US05,Arkansas,2014,20.023548,.38108224
04000US05,Arkansas,2015,21.274035,.35423329
04000US05,Arkansas,2016,21.525608,.35882315
04000US05,Arkansas,2017,21.625435,.34640384
04000US06,California,2009,23.200264,.10925619
04000US06,California,2010,22.565933,.13193652
04000US06,California,2011,22.046808,.12514158
04000US06,California,2012,21.903097,.10634568
04000US06,California,2013,22.697784,.10973185
04000US06,California,2014,22.966061,.1048147
04000US06,California,2015,23.615932,.10447732
04000US06,California,2016,24.513746,.12034586
04000US06,California,2017,25.559956,.11437725
04000US08,Colorado,2009,23.123259,.30611429
04000US08,Colorado,2010,22.422543,.26146412
04000US08,Colorado,2011,22.209105,.34124002
04000US08,Colorado,2012,22.475361,.27781853
04000US08,Colorado,2013,23.018126,.27518517
04000US08,Colorado,2014,23.493523,.2774159
04000US08,Colorado,2015,24.645943,.30790573
04000US08,Colorado,2016,24.930202,.26949245
04000US08,Colorado,2017,25.617764,.29226103
04000US09,Connecticut,2009,20.378126,.29696658
