geoid,name,year,total_est,total_se
04000US01,Alabama,2009,60.739017,.41567263
04000US01,Alabama,2010,60.701473,.4390814
04000US01,Alabama,2011,60.768341,.4643873
04000US01,Alabama,2012,59.958572,.36033395
04000US01,Alabama,2013,60.316967,.42614052
04000US01,Alabama,2014,60.178299,.38009399
04000US01,Alabama,2015,60.042511,.43430865
04000US01,Alabama,2016,60.6637,.36253792
04000US01,Alabama,2017,61.653988,.43832982
04000US02,Alaska,2009,59.300415,1.1734493
04000US02,Alaska,2010,57.566868,1.2828118
04000US02,Alaska,2011,59.129131,1.1487273
04000US02,Alaska,2012,56.956661,1.0374153
04000US02,Alaska,2013,59.264271,1.1657906
04000US02,Alaska,2014,59.925335,1.042918
04000US02,Alaska,2015,59.594704,1.0467192
04000US02,Alaska,2016,61.55883,1.238801
04000US02,Alaska,2017,60.096676,1.0980374
04000US04,Arizona,2009,55.794525,.35588053
04000US04,Arizona,2010,55.306656,.35509205
04000US04,Arizona,2011,54.333199,.48114797
04000US04,Arizona,2012,54.632072,.32756251
04000US04,Arizona,2013,54.854347,.38199663
04000US04,Arizona,2014,55.739738,.38143978
04000US04,Arizona,2015,56.166725,.33160836
04000US04,Arizona,2016,57.52108,.39945292
04000US04,Arizona,2017,58.110863,.37758335
04000US05,Arkansas,2009,59.28688,.56329632
04000US05,Arkansas,2010,59.338219,.52595234
04000US05,Arkansas,2011,59.104259,.56794661
04000US05,Arkansas,2012,58.765285,.51445562
04000US05,Arkansas,2013,59.460926,.64217782
04000US05,Arkansas,2014,59.815979,.49517643
04000US05,Arkansas,2015,59.421509,.53686321
04000US05,Arkansas,2016,59.618908,.54461467
04000US05,Arkansas,2017,60.166668,.55479556
04000US06,California,2009,60.448586,.16672692
04000US06,California,2010,60.004883,.19940051
04000US06,California,2011,59.255703,.16230783
04000US06,California,2012,59.486622,.15990983
04000US06,California,2013,59.789635,.16877598
04000US06,California,2014,60.542645,.15697625
04000US06,California,2015,60.828335,.17283295
04000US06,California,2016,61.840828,.19722226
04000US06,California,2017,62.540001,.16137975
04000US08,Colorado,2009,62.860168,.43633971
04000US08,Colorado,2010,62.246166,.37900841
04000US08,Colorado,2011,61.990555,.51970863
04000US08,Colorado,2012,62.380665,.38752401
04000US08,Colorado,2013,63.20002,.42702904
04000US08,Colorado,2014,63.504417,.42272258
04000US08,Colorado,2015,64.654091,.4076708
04000US08,Colorado,2016,65.449417,.37538695
04000US08,Colorado,2017,66.206963,.37725753
04000US09,Connecticut,2009,59.129299,.46425882
04000US09,Connecticut,2010,58.272137,.50205529
04000US09,Connecticut,2011,56.958015,.48140991
04000US09,Connecticut,2012,58.094276,.48921183
04000US09,Connecticut,2013,58.070469,.49475026
04000US09,Connecticut,2014,57.736259,.51270008
04000US09,Connecticut,2015,58.523422,.51726925
04000US09,Connecticut,2016,57.623215,.53703308
04000US09,Connecticut,2017,58.278091,.4906987
04000US10,Delaware,2009,60.678928,.95007539
04000US10,Delaware,2010,58.762337,.90292859
04000US10,Delaware,2011,60.58429,.91303933
04000US10,Delaware,2012,60.694725,.97340465
04000US10,Delaware,2013,59.023624,.92629439
04000US10,Delaware,2014,58.938419,.95189643
04000US10,Delaware,2015,58.868103,.84793884
04000US10,Delaware,2016,59.226685,.87225753
04000US10,Delaware,2017,59.987373,1.0530806
04000US11,District of Columbia,2009,20.085045,.71089959
04000US11,District of Columbia,2010,19.704185,.7390396
04000US11,District of Columbia,2011,17.453754,.69617343
04000US11,District of Columbia,2012,18.374571,.71998656
04000US11,District of Columbia,2013,20.518238,.66734624
04000US11,District of Columbia,2014,20.277023,.6742481
04000US11,District of Columbia,2015,20.149971,.68097734
04000US11,District of Columbia,2016,19.022121,.60782266
04000US11,District of Columbia,2017,19.679901,.64714903
04000US12,Florida,2009,52.23856,.2418513
04000US12,Florida,2010,51.544945,.22972026
04000US12,Florida,2011,50.93491,.22233795
04000US12,Florida,2012,50.438004,.19274493
04000US12,Florida,2013,51.154446,.20572895
04000US12,Florida,2014,51.868927,.22409427
04000US12,Florida,2015,52.165752,.21934865
04000US12,Florida,2016,53.073578,.21984531
04000US12,Florida,2017,53.952396,.23091418
04000US13,Georgia,2009,59.712994,.33960631
04000US13,Georgia,2010,59.57679,.33356476
04000US13,Georgia,2011,58.408195,.40365016
04000US13,Georgia,2012,58.515053,.37557474
04000US13,Georgia,2013,58.569992,.30659372
04000US13,Georgia,2014,58.962357,.2792736
04000US13,Georgia,2015,59.427685,.29934409
04000US13,Georgia,2016,60.498165,.3306151
04000US13,Georgia,2017,61.443752,.35210684
04000US15,Hawaii,2009,57.540077,.98217642
04000US15,Hawaii,2010,57.234444,.78239346
04000US15,Hawaii,2011,55.969173,.72796547
04000US15,Hawaii,2012,55.886795,.87977153
04000US15,Hawaii,2013,57.242733,.83470643
04000US15,Hawaii,2014,57.73933,.7758894
