geoid,name,year,total_est,total_se
04000US01,Alabama,2009,7.3752837,.15982789
04000US01,Alabama,2010,7.0476742,.16558576
04000US01,Alabama,2011,7.1225657,.16275729
04000US01,Alabama,2012,7.3047509,.15895039
04000US01,Alabama,2013,7.159307,.16898207
04000US01,Alabama,2014,7.3904381,.16738173
04000US01,Alabama,2015,7.5729399,.18805417
04000US01,Alabama,2016,7.9613261,.17605031
04000US01,Alabama,2017,8.028985,.19860819
04000US02,Alaska,2009,6.0009217,.38962802
04000US02,Alaska,2010,6.1022739,.44340634
04000US02,Alaska,2011,6.294641,.43318319
04000US02,Alaska,2012,6.7438631,.38242421
04000US02,Alaska,2013,6.8199091,.34214169
04000US02,Alaska,2014,6.990335,.47919968
04000US02,Alaska,2015,7.1818852,.45512831
04000US02,Alaska,2016,7.948307,.43764934
04000US02,Alaska,2017,7.3653688,.51177007
04000US04,Arizona,2009,4.9366565,.1424239
04000US04,Arizona,2010,4.5042739,.11669476
04000US04,Arizona,2011,4.4578333,.16151072
04000US04,Arizona,2012,4.3477716,.11688038
04000US04,Arizona,2013,4.6784229,.13291435
04000US04,Arizona,2014,5.0206628,.1409972
04000US04,Arizona,2015,5.3509769,.1423028
04000US04,Arizona,2016,5.8939633,.13794206
04000US04,Arizona,2017,6.1419396,.1489075
04000US05,Arkansas,2009,5.388876,.18118748
04000US05,Arkansas,2010,5.6467743,.16568775
04000US05,Arkansas,2011,5.2990322,.20558408
04000US05,Arkansas,2012,5.484767,.18503636
04000US05,Arkansas,2013,5.7069063,.21762666
04000US05,Arkansas,2014,5.4786229,.16463736
04000US05,Arkansas,2015,6.2552905,.19310552
04000US05,Arkansas,2016,6.342072,.23628759
04000US05,Arkansas,2017,6.7512112,.19800505
04000US06,California,2009,7.7183747,.067767926
04000US06,California,2010,7.5377731,.073274568
04000US06,California,2011,7.2180567,.075897388
04000US06,California,2012,7.2625494,.066287033
04000US06,California,2013,7.478828,.066318087
04000US06,California,2014,7.6883302,.059396744
04000US06,California,2015,8.1244259,.069439121
04000US06,California,2016,8.7289047,.064366303
04000US06,California,2017,9.2439756,.079726122
04000US08,Colorado,2009,7.1069436,.18458778
04000US08,Colorado,2010,6.7719588,.16208163
04000US08,Colorado,2011,6.4338751,.1823169
04000US08,Colorado,2012,6.6061215,.1869019
04000US08,Colorado,2013,6.8695331,.16403104
04000US08,Colorado,2014,7.3503919,.15608437
04000US08,Colorado,2015,7.9065518,.18950015
04000US08,Colorado,2016,7.9735718,.15270914
04000US08,Colorado,2017,8.7949877,.16768296
04000US09,Connecticut,2009,6.0034881,.17811161
04000US09,Connecticut,2010,5.9525657,.16714582
04000US09,Connecticut,2011,5.629519,.15532489
04000US09,Connecticut,2012,5.842782,.17958984
04000US09,Connecticut,2013,6.0405564,.20075652
04000US09,Connecticut,2014,6.0401959,.17149211
04000US09,Connecticut,2015,6.0790219,.1882946
04000US09,Connecticut,2016,6.2483559,.19240721
04000US09,Connecticut,2017,6.394784,.21070158
04000US10,Delaware,2009,5.2445822,.39977905
04000US10,Delaware,2010,5.3606677,.33993062
04000US10,Delaware,2011,5.9710317,.34628803
04000US10,Delaware,2012,5.5373368,.38568494
04000US10,Delaware,2013,5.9037781,.34657708
04000US10,Delaware,2014,6.2517338,.4539589
04000US10,Delaware,2015,5.8874912,.31038082
04000US10,Delaware,2016,5.7635617,.3465043
04000US10,Delaware,2017,6.1248207,.38826296
04000US11,District of Columbia,2009,.75176507,.17646134
04000US11,District of Columbia,2010,.82927877,.17518802
04000US11,District of Columbia,2011,.85271895,.13924164
04000US11,District of Columbia,2012,1.1073945,.19497932
04000US11,District of Columbia,2013,.83673543,.12897997
04000US11,District of Columbia,2014,.87497926,.13419583
04000US11,District of Columbia,2015,1.0309205,.15647587
04000US11,District of Columbia,2016,.74277937,.12375058
04000US11,District of Columbia,2017,.85087484,.14976059
04000US12,Florida,2009,3.3915997,.074982338
04000US12,Florida,2010,3.289762,.075566731
04000US12,Florida,2011,3.1472712,.067472108
04000US12,Florida,2012,3.1110973,.05142574
04000US12,Florida,2013,3.2269609,.065711103
04000US12,Florida,2014,3.3266983,.068067238
04000US12,Florida,2015,3.5437155,.07002525
04000US12,Florida,2016,3.8238027,.074034065
04000US12,Florida,2017,3.9816182,.069256559
04000US13,Georgia,2009,6.2119765,.13948317
04000US13,Georgia,2010,5.9611993,.12062246
04000US13,Georgia,2011,5.5864549,.14375362
04000US13,Georgia,2012,5.66822,.12772496
04000US13,Georgia,2013,6.0103216,.11166779
04000US13,Georgia,2014,6.2874055,.11496202
04000US13,Georgia,2015,6.5475202,.12360038
04000US13,Georgia,2016,7.0731535,.14249527
04000US13,Georgia,2017,7.464098,.13510151
04000US15,Hawaii,2009,6.9070868,.37851176
04000US15,Hawaii,2010,7.9071445,.34925857
04000US15,Hawaii,2011,7.1222992,.35934699
04000US15,Hawaii,2012,7.5328088,.33151895
04000US15,Hawaii,2013,7.9265528,.34454927
04000US15,Hawaii,2014,7.5167103,.33882964
04000US15,Hawaii,2015,8.4770012,.36314252
04000US15,Hawaii,2016,8.7262106,.33308002
04000US15,Hawaii,2017,8.7511292,.36016452
