geoid,name,year,total_est,total_se
04000US18,Indiana,2016,6.2702751,.13715672
04000US18,Indiana,2017,6.5572701,.14117613
04000US19,Iowa,2009,6.0548382,.1993743
04000US19,Iowa,2010,5.7940774,.18051004
04000US19,Iowa,2011,5.9022899,.1758782
04000US19,Iowa,2012,5.5892682,.1994774
04000US19,Iowa,2013,5.7948132,.17021042
04000US19,Iowa,2014,5.5579228,.16182162
04000US19,Iowa,2015,5.8544846,.18894936
04000US19,Iowa,2016,5.7577653,.19764847
04000US19,Iowa,2017,5.6109519,.20768799
04000US20,Kansas,2009,5.3764968,.19985664
04000US20,Kansas,2010,5.4989839,.19580694
04000US20,Kansas,2011,5.0820503,.17732017
04000US20,Kansas,2012,5.4301467,.16481118
04000US20,Kansas,2013,5.6075583,.16167581
04000US20,Kansas,2014,5.5111423,.19203193
04000US20,Kansas,2015,5.5715189,.19541843
04000US20,Kansas,2016,5.6644096,.21956766
04000US20,Kansas,2017,5.1878548,.18776299
04000US21,Kentucky,2009,7.8499136,.18833417
04000US21,Kentucky,2010,7.5460062,.18521979
04000US21,Kentucky,2011,8.0342245,.20735256
04000US21,Kentucky,2012,7.7284532,.19258428
04000US21,Kentucky,2013,7.8249998,.1962519
04000US21,Kentucky,2014,8.1492023,.19425412
04000US21,Kentucky,2015,7.4919238,.15966733
04000US21,Kentucky,2016,7.5507684,.20238301
04000US21,Kentucky,2017,7.3069282,.19169602
04000US22,Louisiana,2009,8.289856,.18462904
04000US22,Louisiana,2010,8.804122,.2137235
04000US22,Louisiana,2011,8.9593019,.21675435
04000US22,Louisiana,2012,8.3277845,.20881717
04000US22,Louisiana,2013,8.5990849,.24236384
04000US22,Louisiana,2014,8.7999954,.1931857
04000US22,Louisiana,2015,8.7262964,.18916337
04000US22,Louisiana,2016,8.5627565,.19609141
04000US22,Louisiana,2017,8.5543747,.19759829
04000US23,Maine,2009,6.9418468,.31699368
04000US23,Maine,2010,7.0683532,.31459892
04000US23,Maine,2011,7.7951136,.29601333
04000US23,Maine,2012,7.067441,.28314504
04000US23,Maine,2013,7.609652,.37227213
04000US23,Maine,2014,7.9386582,.34949124
04000US23,Maine,2015,8.0075045,.34100011
04000US23,Maine,2016,7.2377086,.32408181
04000US23,Maine,2017,6.8008847,.37507802
04000US24,Maryland,2009,9.5257463,.20490196
04000US24,Maryland,2010,9.4782982,.20092089
04000US24,Maryland,2011,9.8309364,.19536473
04000US24,Maryland,2012,9.5885143,.15603632
04000US24,Maryland,2013,9.3998652,.14738697
04000US24,Maryland,2014,9.1186171,.21341206
04000US24,Maryland,2015,9.3299885,.20083478
04000US24,Maryland,2016,9.0959997,.183202
04000US24,Maryland,2017,8.9395714,.18467459
04000US25,Massachusetts,2009,11.778952,.22510244
04000US25,Massachusetts,2010,12.88619,.19822577
04000US25,Massachusetts,2011,12.680549,.17881864
04000US25,Massachusetts,2012,12.704875,.15354793
04000US25,Massachusetts,2013,12.395237,.18742207
04000US25,Massachusetts,2014,12.485879,.18473867
04000US25,Massachusetts,2015,12.664538,.18089667
04000US25,Massachusetts,2016,12.566033,.1668057
04000US25,Massachusetts,2017,12.3902,.18459582
04000US26,Michigan,2009,7.4695215,.13212724
04000US26,Michigan,2010,7.8315387,.13946499
04000US26,Michigan,2011,7.8363218,.11930659
04000US26,Michigan,2012,8.144002,.086148098
04000US26,Michigan,2013,8.15728,.10514951
04000US26,Michigan,2014,8.102725,.12353893
04000US26,Michigan,2015,8.0267572,.11355596
04000US26,Michigan,2016,7.8357882,.12189518
04000US26,Michigan,2017,7.5409851,.12042324
04000US27,Minnesota,2009,6.7490282,.15177791
04000US27,Minnesota,2010,7.0967531,.16282108
04000US27,Minnesota,2011,7.3057799,.15077184
04000US27,Minnesota,2012,6.949904,.13308261
04000US27,Minnesota,2013,7.1301074,.11912319
04000US27,Minnesota,2014,7.4254827,.16043226
04000US27,Minnesota,2015,6.8335862,.16421381
04000US27,Minnesota,2016,6.8011494,.14767894
04000US27,Minnesota,2017,6.7322755,.16208494
04000US28,Mississippi,2009,7.3445745,.27095354
04000US28,Mississippi,2010,7.1598215,.24470067
04000US28,Mississippi,2011,6.9211493,.21952321
04000US28,Mississippi,2012,6.9001884,.17989399
04000US28,Mississippi,2013,7.1475582,.23447755
04000US28,Mississippi,2014,6.8087635,.21861304
04000US28,Mississippi,2015,6.97157,.26373464
04000US28,Mississippi,2016,6.5053215,.23735124
04000US28,Mississippi,2017,6.2525868,.24587169
04000US29,Missouri,2009,7.1083107,.15393385
04000US29,Missouri,2010,7.2454252,.15990634
04000US29,Missouri,2011,7.4977555,.16393416
04000US29,Missouri,2012,7.7640743,.15297838
04000US29,Missouri,2013,7.1503391,.16122778
04000US29,Missouri,2014,7.2565546,.1688188
04000US29,Missouri,2015,7.0956287,.14492877
04000US29,Missouri,2016,6.9519305,.17027012
04000US29,Missouri,2017,6.7424693,.14301834
04000US30,Montana,2009,4.9841857,.32107964
04000US30,Montana,2010,5.0081067,.35527009
04000US30,Montana,2011,5.1116886,.30021402
04000US30,Montana,2012,5.5345798,.36466983
04000US30,Montana,2013,5.0616803,.3275843
04000US30,Montana,2014,5.4129095,.36969659
04000US30,Montana,2015,5.4076142,.28791091
04000US30,Montana,2016,5.0874138,.33673364
04000US30,Montana,2017,5.1064668,.38650146
04000US31,Nebraska,2009,6.049017,.28755283
04000US31,Nebraska,2010,5.1761146,.23430251
04000US31,Nebraska,2011,6.2068248,.24115911
