geoid,name,year,total_est,total_se
04000US01,Alabama,2009,32.935886,.31749123
04000US01,Alabama,2010,32.708939,.37911499
04000US01,Alabama,2011,32.870529,.38337725
04000US01,Alabama,2012,33.35326,.34120172
04000US01,Alabama,2013,33.146679,.32819203
04000US01,Alabama,2014,33.274406,.34607399
04000US01,Alabama,2015,33.366676,.34615284
04000US01,Alabama,2016,33.105103,.33897284
04000US01,Alabama,2017,32.412575,.30323228
04000US02,Alaska,2009,31.013918,.85111821
04000US02,Alaska,2010,32.02977,.92942405
04000US02,Alaska,2011,31.213617,.74090421
04000US02,Alaska,2012,33.527386,.75411558
04000US02,Alaska,2013,30.961525,.89179474
04000US02,Alaska,2014,31.421658,.79666603
04000US02,Alaska,2015,30.077744,.8157447
04000US02,Alaska,2016,29.065311,.87437832
04000US02,Alaska,2017,29.876646,.79869723
04000US04,Arizona,2009,37.451584,.35142827
04000US04,Arizona,2010,37.831196,.2948457
04000US04,Arizona,2011,38.605721,.34875655
04000US04,Arizona,2012,38.382336,.27133274
04000US04,Arizona,2013,38.28476,.28363883
04000US04,Arizona,2014,37.410751,.29962516
04000US04,Arizona,2015,36.952744,.31530949
04000US04,Arizona,2016,36.122238,.31510481
04000US04,Arizona,2017,36.06522,.32509443
04000US05,Arkansas,2009,33.997871,.46429703
04000US05,Arkansas,2010,34.007473,.42850101
04000US05,Arkansas,2011,34.638855,.47439864
04000US05,Arkansas,2012,34.58905,.41296688
04000US05,Arkansas,2013,34.395893,.46070749
04000US05,Arkansas,2014,33.769913,.47766104
04000US05,Arkansas,2015,34.134502,.36701575
04000US05,Arkansas,2016,33.645924,.43456101
04000US05,Arkansas,2017,33.563442,.44976431
04000US06,California,2009,31.983503,.13780405
04000US06,California,2010,32.183872,.12026833
04000US06,California,2011,32.72715,.12991497
04000US06,California,2012,32.619282,.10507108
04000US06,California,2013,32.427643,.13044313
04000US06,California,2014,31.752903,.13737509
04000US06,California,2015,31.683886,.12616891
04000US06,California,2016,30.8729,.11360921
04000US06,California,2017,30.416197,.12535438
04000US08,Colorado,2009,31.509527,.31912848
04000US08,Colorado,2010,31.937969,.35188013
04000US08,Colorado,2011,32.172161,.33158696
04000US08,Colorado,2012,31.88652,.29977065
04000US08,Colorado,2013,31.188238,.32861105
04000US08,Colorado,2014,30.846367,.29075757
04000US08,Colorado,2015,30.179516,.31890926
04000US08,Colorado,2016,29.510923,.28805616
04000US08,Colorado,2017,28.721392,.29211801
04000US09,Connecticut,2009,32.564091,.38562751
04000US09,Connecticut,2010,32.666695,.40376005
04000US09,Connecticut,2011,33.727619,.35748476
04000US09,Connecticut,2012,32.832821,.42713889
04000US09,Connecticut,2013,32.442493,.37335268
04000US09,Connecticut,2014,33.188549,.36706555
04000US09,Connecticut,2015,32.307362,.44261697
04000US09,Connecticut,2016,33.323757,.43040788
04000US09,Connecticut,2017,33.152905,.40327644
04000US10,Delaware,2009,31.551525,.77467346
04000US10,Delaware,2010,34.613174,.76368332
04000US10,Delaware,2011,33.661072,.81943071
04000US10,Delaware,2012,32.976894,.71040553
04000US10,Delaware,2013,33.870193,.74061739
04000US10,Delaware,2014,34.844158,.85488641
04000US10,Delaware,2015,34.284943,.75685096
04000US10,Delaware,2016,35.067577,.78715336
04000US10,Delaware,2017,34.385101,.72574711
04000US11,District of Columbia,2009,44.731228,1.0693815
04000US11,District of Columbia,2010,45.274338,.92992008
04000US11,District of Columbia,2011,44.015335,1.0105314
04000US11,District of Columbia,2012,43.749016,.84020144
04000US11,District of Columbia,2013,42.101444,.8895511
04000US11,District of Columbia,2014,45.753448,.84867531
04000US11,District of Columbia,2015,43.6688,.90573335
04000US11,District of Columbia,2016,43.692417,1.0344485
